date,time,lat,lon,depth,ML
1973/2/14,49:16.2,22.36,121.71,30,6
1973/3/26,37:46.5,24.1683,122.015,24,5
1973/4/23,29:12.7,23.9217,121.7883,1.5,5.11
1973/6/7,22:02.8,22.69,121.0767,15.6,5.44
1973/6/30,43:30.3,23.065,121.2483,20,5.22
1973/7/23,34:05.0,21.826,121.293,73,5.3
1973/7/28,53:32.3,22.131,121.475,33,5.7
1973/8/25,50:42.5,22.4685,121.0673,10,5
1973/9/11,19:28.6,24.5887,121.5148,20,5.05
1973/10/2,59:42.2,23.9,121.628,49,5.4
1973/12/5,35:32.5,22.984,121.653,67,5.3
1974/1/16,56:00.0,23.5,121.4,10,5.4
1974/2/6,17:56.4,22.572,120.992,60,5.1
1974/3/12,07:58.4,23.2283,121.9147,60,5.04
1974/4/10,59:49.4,22.9422,121.4823,9.51,5.21
1974/5/5,57:35.8,22.4473,121.4622,9.95,5.08
1974/10/24,21:54.0,23.853,122.186,53,5.2
1975/4/2,44:25.8,23.1588,122.3317,11.06,5.11
1975/4/30,53:33.6,23.9738,121.597,0.63,5.05
1975/5/23,01:53.8,22.6835,122.4083,34.18,5.32
1975/5/23,43:59.2,22.9822,122.1848,0.19,5.58
1975/6/26,25:31.3,23.8082,121.8292,34.38,5.34
1975/7/1,24:08.3,24.6298,122.3705,80,5.06
1975/7/7,50:00.1,23.046,119.978,23,5.1
1975/7/20,38:23.7,24.0022,121.727,14.44,5.24
1975/8/8,07:42.5,22.612,122.391,15,5.3
1975/8/22,48:48.3,23.3477,121.6605,23.41,5.09
1975/11/13,25:03.3,24.333,121.627,66,5.5
1976/2/16,33:49.4,24.0447,122.3623,1.62,5.03
1976/2/23,02:27.6,22.9257,121.8215,1.42,5.66
1976/3/20,07:00.8,24.3205,121.6745,13.23,5.79
1976/4/14,00:46.3,23.3463,120.6685,7.67,5.47
1976/6/9,40:58.7,22.7902,120.7117,16.77,5.1
1976/7/11,17:00.0,23.4,122.2,30,5.2
1976/7/12,18:44.0,23.0808,122.0178,10,5.12
1976/7/18,02:29.6,22.72,120.805,50,5
1976/8/29,04:49.9,24.906,122.3627,130,5.24
1976/9/4,10:14.3,24.9183,122.3727,0.58,5.09
1976/9/9,39:39.0,24.383,121.7452,5,5
1976/10/7,27:57.0,24.6052,122.0198,89.48,5.08
1977/1/7,36:52.6,21.8143,120.2485,5,5.8
1977/1/21,20:05.1,23.7333,122.0678,10,5.15
1977/6/14,30:57.6,22.1268,121.7565,7.76,5.35
1977/7/15,12:51.5,23.9575,122.3842,0.6,5.39
1977/10/17,30:22.2,22.8035,120.4517,10,5.02
1977/10/19,39:32.4,22.5762,121.5473,141.5,5.34
1977/10/28,16:59.8,22.4973,121.4307,20.56,5.25
1977/12/6,19:00.5,23.1543,121.6467,18.75,5.22
1977/12/12,44:01.0,22.9922,121.5743,0.9,5.39
1977/12/25,33:48.1,24.2187,121.7785,30,5.31
1978/4/8,26:07.8,22.5658,121.0425,10,5.84
1978/4/14,12:14.3,23.8067,121.8113,35.88,5.11
1978/5/27,44:09.1,23.8765,121.8823,7.85,5.2
1978/5/30,09:06.1,24.4173,121.8262,0.22,5.37
1978/6/7,29:47.8,22.151,121.1553,7.24,5.11
1978/7/23,42:38.2,22.3518,121.3287,6.1,7.1
1978/7/24,54:46.0,22.2545,121.366,0.17,5.54
1978/7/24,41:53.6,22.3118,121.3658,5.16,5.1
1978/7/24,37:00.4,22.1635,121.3502,0.19,5.57
1978/7/25,56:28.9,22.3808,121.4258,8.45,5.47
1978/7/31,20:40.5,24.3963,121.9622,5.56,5.3
1978/8/7,56:10.8,22.2813,121.274,3.17,5.11
1978/8/9,36:08.2,25.1508,120.6932,25.85,5.33
1978/8/9,35:03.6,23.5035,121.5008,13.04,5.32
1978/8/13,41:33.6,22.3673,121.3907,4.11,5.37
1978/8/14,50:11.6,24.4535,121.801,5.61,5.21
1978/8/26,53:11.2,22.27,121.3583,0.45,5.31
1978/8/31,27:53.5,22.4185,121.4788,7.8,5.01
1978/9/2,57:35.7,24.7765,121.983,86.47,5.78
1978/9/10,34:01.4,24.0448,121.7622,3.06,5.33
1978/9/10,10:53.0,24.1198,121.7785,5.96,5.11
1978/9/10,50:34.7,24.112,121.7652,14.38,5.26
1978/9/11,25:36.6,24.0548,121.7512,10,5.4
1978/9/11,22:07.5,22.2227,121.345,9.35,5
1978/11/7,02:00.5,23.9267,122.4418,14.13,5.09
1978/11/10,06:04.1,21.5282,121.1327,16.61,5.08
1978/11/12,27:09.7,22.3988,121.3697,5.17,5.02
1978/12/23,23:11.7,23.297,122.0047,4.12,6.9
1978/12/26,49:11.5,23.0615,121.5932,7.98,5.35
1979/1/3,39:04.5,23.0468,120.9048,10,5.33
1979/6/2,08:59.3,22.4995,121.4532,23.18,5.16
1979/7/20,12:31.2,23.2447,121.6397,24.12,5
1979/7/24,20:28.4,24.0783,121.6745,32.74,5.03
1979/9/11,06:58.4,22.621,119.804,35.01,5.01
1979/9/13,54:51.0,22.6527,120.0148,32.75,5.41
1979/12/2,25:17.6,22.959,121.4147,19.05,5.43
1979/12/2,09:44.4,23.0203,121.3897,22.61,5.22
1979/12/23,46:30.2,23.0168,121.789,10,5.1
1980/3/21,59:44.9,23.009,121.4545,14.26,5.5
1980/5/16,35:59.3,21.7005,121.6925,23.62,5.11
1980/5/29,41:47.5,24.5432,122.3875,6.89,5.1
1980/6/18,32:26.5,22.3933,121.225,28.24,5.99
1980/9/16,00:24.5,21.5087,121.6038,10,5.03
1980/9/25,56:51.1,23.3577,120.7197,15,5.28
