Staname,data,lon,lat
七股  ,4.97,120.09,23.15
九如  ,5.74,120.5,22.72
二水  ,9.03,120.62,23.81
三光  ,11.07,121.37,24.67
三地門,1.74,120.64,22.74
三貂角,3.29,122,25.01
三義  ,5.56,120.77,24.41
大肚  ,11.78,120.56,24.13
大城  ,9.27,120.29,23.86
大埔  ,3.71,120.62,23.24
中壢  ,8.97,121.19,24.97
五分山,15.67,121.78,25.07
五股  ,5.26,121.42,25.1
內城  ,22.01,121.68,24.72
六腳  ,7.06,120.24,23.48
太麻里,1.2,120.96,22.6
太魯閣,484.51,121.62,24.16
斗六市,19.86,120.54,23.72
日月潭,22.37,120.91,23.88
牛鬥  ,48.69,121.57,24.64
古坑  ,11.72,120.57,23.68
四湖  ,11.07,120.23,23.64
外埔  ,5.32,120.65,24.33
永康  ,5.14,120.24,23.04
甲仙  ,4.31,120.59,23.08
石門  ,2.69,121.59,25.29
光復  ,11.25,121.48,23.68
合歡山,117.78,121.27,24.14
名間  ,6.76,120.69,23.88
安朔  ,2.27,120.86,22.38
成功  ,10.29,121.37,23.1
池上  ,15.49,121.22,23.1
竹北市,11.31,121.01,24.83
竹東  ,11.37,121.09,24.74
竹南  ,8.08,120.87,24.68
西林  ,28.47,121.44,23.81
利稻  ,4.31,121.03,23.19
秀林  ,193.63,121.6,24.08
佳里  ,9.09,120.2,23.17
初鹿  ,2.93,121.09,22.86
卑南  ,1.85,121.08,22.82
和平  ,107.13,121.75,24.31
坪林  ,6.1,121.71,24.94
宜蘭市,24.35,121.76,24.76
東山  ,4.91,120.5,23.26
東吉島,1.08,119.67,23.26
東河  ,4.49,121.3,22.97
東勢  ,8.67,120.83,24.26
枋寮  ,1.02,120.63,22.37
花蓮市,442.22,121.61,23.98
長濱  ,18.48,121.45,23.32
阿里山,8.85,120.81,23.51
信義區,10.83,121.57,25.04
南山  ,74.47,121.38,24.44
南投市,8.37,120.68,23.91
南澳  ,428.46,121.75,24.43
南灣  ,1.68,120.75,21.96
屏東市,5.56,120.5,22.68
恆春  ,0.96,120.75,22
指南宮,5.08,121.59,24.98
苗栗市,5.32,120.83,24.57
員林  ,14.24,120.58,23.96
埔里  ,11.37,120.96,24.01
桃園市,7.6,121.31,25
桃源  ,2.99,120.77,23.16
草山  ,11.43,120.59,23.35
草嶺  ,34.69,120.68,23.6
貢寮  ,3.11,121.92,25.04
馬公市,2.81,119.56,23.57
高雄市,2.45,120.32,22.57
基隆市,4.01,121.77,25.15
魚池  ,4.97,120.87,23.91
善化  ,7.48,120.29,23.14
陽明山,3.05,121.53,25.18
新化  ,6.1,120.36,23.08
新北市,11.19,121.44,25
新竹市,7.72,121.02,24.78
新店  ,4.13,121.55,24.9
楠西  ,3.41,120.53,23.19
獅潭  ,7.48,120.92,24.54
獅頭山,6.1,121.01,24.63
萬里  ,4.37,121.66,25.2
嘉義市,12.62,120.43,23.5
彰化市,11.78,120.56,24.08
旗山  ,4.49,120.43,22.82
綠島  ,1.14,121.47,22.67
臺中市,6.28,120.68,24.15
臺北市,8.97,121.51,25.04
臺東市,4.91,121.15,22.75
臺南市,2.87,120.21,22.99
銅門  ,325.82,121.49,23.97
德基  ,32,121.16,24.25
磯崎  ,15.55,121.55,23.71
鯉魚潭,6.7,120.78,24.35
鵝鑾鼻,1.38,120.86,21.9
羅東  ,95.05,121.77,24.67
霧峰  ,10.65,120.7,24.04
蘇澳  ,18.07,121.86,24.61
蘭嶼  ,1.85,121.56,22.04
鹽寮  ,463.04,121.6,23.9
